Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
ba419d35-0dfe-8af7-347c-eebf02485a56,1998-07-20,,999-49-6110,S99998540,X47273093X,Mrs.,Corie618,Sofia418,Pouros728,,Jast432,M,white,hispanic,F,Plattsburgh  New York  US,1028 Hoeger Crossroad,Albany,New York,Albany County,36001,12210,42.63681495971821,-73.75553779073068,82974.69,269772.75,28756
aee7bbe1-0c45-c028-1e62-1f4cdb30c273,2025-11-07,,999-21-5544,,,,Wilfredo622,Isaiah615,Fritsch593,,,,white,nonhispanic,M,New York  New York  US,265 Schamberger Rapid Unit 70,Lewisboro,New York,Westchester County,,00000,41.28228261404635,-73.61671131615718,4634.50,313.84,102779
4f083ce3-f12b-bb4b-7353-e17f0cd55b0a,1998-12-01,,999-78-6352,S99919304,X1855430X,Mr.,Ezekiel373,Leslie90,Walter473,,,,white,nonhispanic,M,New York  New York  US,332 Schulist Underpass,Yonkers,New York,Westchester County,36119,10703,40.87160697857709,-73.85495590408014,144988.03,56418.76,141031
46ee9d82-b52c-856d-069b-5064ff052225,1996-05-07,,999-44-2741,S99910578,X50898615X,Mrs.,Shalanda398,Kelsie51,Rath779,,Terry864,M,white,nonhispanic,F,New York  New York  US,925 Brown Annex,New York,New York,Queens County,36081,11101,40.81631315858056,-73.83099128132608,223185.94,578980.37,124612
aa616abe-1761-0c9a-7959-07544679dafd,1963-10-02,2011-09-09,999-83-4774,S99964418,X38725108X,Mrs.,Jona712,Bonnie873,Oberbrunner298,,Robel940,D,hawaiian,hispanic,F,Schenectady  New York  US,997 Grant Row Unit 85,New York,New York,Bronx County,36005,10453,40.70577276095647,-74.03203380399835,98729.14,2241486.53,26814
99a3817a-a711-1a3d-eb59-10ec00d4f201,1963-10-02,2010-12-01,999-32-6005,S99957833,X33938670X,Mrs.,Karie712,Judy192,O'Conner199,,Hermann103,M,hawaiian,hispanic,F,New York  New York  US,693 Wilderman Byway,New York,New York,Bronx County,36047,11208,40.78885479683885,-73.88343380173939,85898.09,1212209.78,26814
a7ed2924-6783-d247-8627-8d66e242fbbd,1963-10-02,,999-94-5005,S99926211,X50370429X,Mrs.,Sunshine777,Michelle423,Gerhold939,,Moore224,M,hawaiian,hispanic,F,Stony Brook  New York  US,383 MacGyver Arcade,New York,New York,Bronx County,36061,10199,40.67211332587591,-74.04620520871417,87509.06,1376603.88,26814
e74367bd-7385-97dc-2c7f-251b4cd9fe29,1960-08-12,,999-21-9587,S99961079,X18883089X,Mrs.,Tennille443,Denna536,Kuphal363,,Rosenbaum794,M,white,hispanic,F,Scarsdale  New York  US,911 Hauck Key Suite 34,New York,New York,Bronx County,36061,10153,40.75669768179604,-73.93140443578558,17810.31,1357089.37,23284
5e688e99-61b3-5c88-3f60-21df8aaced27,1947-10-12,,999-87-5260,S99915499,X9336305X,Mr.,Wallace647,Raymond398,Effertz744,,,S,white,nonhispanic,M,Brockport  New York  US,788 Hansen Skyway,New York,New York,New York County,36047,11238,40.815699461788164,-73.92160490106521,259745.20,172226.32,41721
46976cf7-b0bf-be20-39a5-9f425a52886d,2007-08-03,,999-37-5783,S99998241,,Ms.,Barbara209,Isabela97,Flórez858,,,,black,nonhispanic,F,Kingston  Kingston  JM,794 Dicki Neck Unit 4,New York,New York,Kings County,36005,10461,40.65186956519802,-74.04727535579968,92205.52,25000.53,95959
76b20010-c318-5754-8c85-983aa538522f,2018-02-05,,999-62-9324,,,,Jody426,Jeffrey461,Hickle134,,,,white,nonhispanic,M,Vestal  New York  US,368 Marquardt Highlands,North Amityville,New York,Suffolk County,,00000,40.659802057040714,-73.42639503746649,28657.32,21766.51,45610
c86c400e-ff88-a1e3-2e23-caa4d8311f47,1947-01-19,1982-06-26,999-14-5114,S99954127,X10235038X,Mr.,Herschel574,Hans694,Greenfelder433,,,M,white,nonhispanic,M,New York  New York  US,479 Haag Camp,Valley Stream,New York,Nassau County,36059,11580,40.61591661822866,-73.66577907767638,91860.91,31806.51,109315
7d871200-d6a1-471b-f4ee-e86a14ba55be,1947-01-19,,999-51-1519,S99938797,X55777616X,Mr.,Jon665,John539,Larson43,,,M,white,nonhispanic,M,New York  New York  US,839 Hammes Meadow Suite 37,Valley Stream,New York,Nassau County,36059,11580,40.636590171414674,-73.73581917401124,266173.32,1003708.89,109315
eb5910f1-26e6-bc6f-b300-716eae678d6f,1995-03-14,,999-20-9963,S99998394,X25395799X,Ms.,Larissa293,Jackeline690,Bins636,,,S,other,nonhispanic,F,New York  New York  US,861 Swift Lock,New York,New York,New York County,36081,11367,40.65105365164186,-73.754338370516,94918.28,874336.66,47596
6fbddf55-7096-b883-7cd3-260f27953080,1981-05-19,,999-94-1171,S99920850,X58291728X,Mrs.,Clarinda196,Serena400,Moore224,,Mayert710,M,white,nonhispanic,F,Chili  New York  US,205 Doyle Parade,Carmel,New York,Putnam County,,00000,41.39144161477611,-73.68451250656486,574823.59,445912.57,41890
bff9d9d5-ee3d-d852-9c67-36d8361a4a4a,2019-11-28,,999-45-1987,,,,Rosario163,,Ortiz186,,,,asian,nonhispanic,M,Watertown  New York  US,438 Schowalter Bypass,Mount Vernon,New York,Westchester County,36119,10553,40.87138027173491,-73.86088793392622,18894.58,2390.67,246352
62f60bdb-cc5c-8305-b98b-f2b229a55eca,1975-09-10,,999-12-9859,S99981460,X27358767X,Ms.,Angel97,Rocio28,Luettgen772,,,S,asian,hispanic,F,Hornell  New York  US,120 Collins Path Suite 22,New York,New York,Queens County,36061,10018,40.63075602358834,-73.94907970097861,757601.59,627420.84,74269
2d68ad16-268a-478c-1f84-d0f1976e1a46,2020-01-10,,999-71-2318,,,,Mauro926,Isaias604,Braun514,,,,black,nonhispanic,M,East Meadow  New York  US,686 Hilpert Annex,New York,New York,Queens County,36081,11697,40.73067301985332,-73.95753493031145,13630.04,448.07,103247
982750f4-569b-5949-196b-60699bdda3fb,1986-09-30,,999-41-6411,S99954611,X8275520X,Mrs.,Dwana281,Zora492,Muller251,,Schuppe920,M,white,nonhispanic,F,West Hempstead  New York  US,864 Wisozk Skyway Suite 4,New York,New York,Queens County,36061,10199,40.82943847266086,-73.96585439443452,340048.94,175288.58,51919
35b353dd-402b-571a-d67a-af0a104d0854,2018-07-19,,999-46-5496,,,,Jody426,,Monahan736,,,,white,nonhispanic,M,Buffalo  New York  US,823 Rohan Walk,West Islip,New York,Suffolk County,36103,11795,40.75049651453684,-73.27490000275422,38355.10,13066.99,164182
d3727ff2-5d7b-347f-d78c-edc4323cf890,2009-05-07,,999-94-4285,S99956000,,,Eunice461,Diann220,Fay398,,,,asian,nonhispanic,F,New York  New York  US,777 Bosco Union Suite 34,New York,New York,Kings County,36047,11210,40.62288104794447,-73.79819809371824,104412.60,17125.13,56736
2c167999-289d-95fa-5c27-7d8b8d35348c,1973-12-01,,999-81-3939,S99980193,X88249747X,Mr.,Eliseo499,Laverne101,Nader710,,,M,white,nonhispanic,M,Lee  New York  US,257 Wiza Forge Suite 31,New York,New York,New York County,36061,10026,40.61972981433789,-74.02080215810419,62645.82,224322.17,28811
9661a432-4630-2cd9-142c-386845fae837,1978-01-03,,999-46-9582,S99956270,X84579815X,Mr.,Paul232,Francisco472,Tremblay80,,,M,white,nonhispanic,M,New York  New York  US,558 O'Connell Trafficway,Brunswick,New York,Rensselaer County,,00000,42.714201167686205,-73.5844340105046,128358.99,37580.56,38363
c053e996-a4c4-6c02-e2b6-284227156c67,2023-08-03,,999-10-8066,,,,Sharyn437,Anette189,Hagenes547,,,,black,nonhispanic,F,New York  New York  US,663 Blick Plaza,Binghamton,New York,Broome County,36007,13901,42.05095927182852,-75.94317001727968,786.48,10125.72,10219
922fb35e-148d-9e82-7e65-bfa05e3b3515,1986-11-06,,999-74-7973,S99972124,X52075463X,Mrs.,Agnes294,Laree109,Mills423,,Muller251,M,white,nonhispanic,F,New York  New York  US,324 Reinger Highlands Apt 29,Lockport,New York,Niagara County,36063,14094,43.12923605437984,-78.66393136642954,323453.86,709477.81,149894
947c82ee-1735-c9ed-8210-38cb93d8070c,2016-04-05,,999-50-9740,,,,Marcell728,Augusta206,Hammes673,,,,black,nonhispanic,F,Plainedge  New York  US,350 Quigley Mill,New York,New York,Kings County,36005,10471,40.60943694483814,-73.77293479177159,50234.65,3038.52,107995
c0a47dee-cc72-29ce-df5a-ea6d306c36a4,1987-01-12,,999-95-9468,S99956936,X41432915X,Mr.,Víctor493,Samuel331,Bustos920,,,M,white,hispanic,M,Havana  Havana  CU,299 Witting Vale Apt 11,New York,New York,Queens County,36061,10007,40.67397290444847,-73.97819784682093,109629.20,42456.29,129734
080b069b-5108-46b6-ecef-6aacd3b9ef3f,1996-10-03,,999-85-1223,S99991152,X34220637X,Mr.,Chester802,Richie600,Aufderhar910,,,M,white,nonhispanic,M,New York  New York  US,314 Robel Quay,Deer Park,New York,Suffolk County,36103,11729,40.806199226129905,-73.30166321486861,104876.64,0.00,39027
5ba0a3f3-32f7-02b1-ec6a-8f568923954c,1998-05-06,,999-72-6669,S99940955,X84625505X,Mr.,Faustino767,Dominic463,Langworth352,,,M,asian,nonhispanic,M,Ridge  New York  US,373 Rath Skyway,New York,New York,Kings County,36081,11357,40.7431055272638,-74.0515946061002,12611.57,1046692.90,11168
d15b23ed-02d5-3e28-efbd-2604425317c5,2026-04-01,,999-23-1094,,,,Ivan258,,Goodwin327,,,,black,nonhispanic,M,New York  New York  US,640 Prosacco Street Suite 54,New York,New York,Kings County,36061,10017,40.72368569853572,-73.96262925722291,100.00,1922.30,4255
6aed9210-c500-4375-b0fc-3374c40b8591,1985-05-21,,999-77-1968,S99960033,X80125813X,Mr.,Lyman173,,Runte676,,,S,white,nonhispanic,M,Syracuse  New York  US,784 Strosin Hollow,Harrison,New York,Westchester County,36119,10580,40.99674011735439,-73.7651015997641,165297.91,903708.42,730041
f95a6723-14a5-c4b6-78df-fa97f7ab361c,1986-07-11,,999-46-9505,S99989761,X1005509X,Mrs.,Roxann426,,Schowalter414,,Bosco882,M,white,nonhispanic,F,New York  New York  US,632 Halvorson Rapid Apt 32,East Fishkill,New York,Dutchess County,,00000,41.59272821414531,-73.83599795738023,30793.02,1489994.44,696664
b6a1cac9-8873-36a7-e726-4aad8a07d44d,1993-03-02,,999-64-3707,S99989762,X80505112X,Mr.,Renaldo199,,Crist667,,,M,white,nonhispanic,M,New York  New York  US,1055 Miller Vale,Mount Vernon,New York,Westchester County,36119,10552,40.89784729424496,-73.84690715300472,10821.74,201697.06,4325
7b06ee52-df9a-8487-0be6-dff27cc7d519,2001-06-25,,999-74-6657,S99925700,X48105540X,Ms.,Ressie457,Eneida722,Nader710,,,,white,nonhispanic,F,Union Vale  New York  US,285 Weissnat Park,New York,New York,Bronx County,36061,10038,40.779375722092404,-73.79790977600962,174556.14,343495.75,137480
4aaa0001-3832-cc52-e2f3-47aad08f4284,2005-12-25,,999-38-1206,S99967076,X49122723X,Mr.,Marvin195,Minh326,Weissnat378,,,,white,nonhispanic,M,Broadalbin  New York  US,785 West Meadow Unit 75,New York,New York,Queens County,36061,10033,40.70972792105052,-74.00929048211974,4253.79,136179.27,16471
f32a088b-988b-d7d5-008b-89ea4ed1fc48,2006-07-05,,999-97-4202,S99948437,X13327781X,Mr.,Mariano761,Juan88,Santacruz647,,,,asian,hispanic,M,Santo Domingo  National District  DO,1090 Crist Spur Suite 38,New York,New York,Queens County,36081,11355,40.52214960582173,-74.26843925866257,60220.23,4531.38,98729
d20bc0bc-3051-ae6f-f391-ceec7ec0370f,2010-02-10,,999-62-3335,S99943000,,,Lavette209,Cathrine584,Kozey370,,,,white,hispanic,F,New York  New York  US,976 Kilback Lodge Apt 46,New York,New York,Queens County,36081,11422,40.78749945231454,-73.71989230106568,50410.07,19597.65,49071
a2fb233f-60e0-b477-cd38-af3923f792a3,1962-01-27,,999-43-3625,S99973189,X28069052X,Mr.,Tanner110,Amos720,Mitchell808,,,M,white,nonhispanic,M,New York  New York  US,144 Hartmann Viaduct Apt 57,Nanuet,New York,Rockland County,36087,10954,41.12766253835959,-74.02690743405901,263996.04,225087.50,37266
5e7ebf2c-22ec-a89b-53ab-38edddd81be9,2008-06-15,,999-51-2537,S99934715,,Ms.,Rosalba160,,Larson43,,,,white,nonhispanic,F,Farmington  New York  US,1071 Rau Run Suite 89,New Cassel,New York,Nassau County,,00000,40.75561380468901,-73.6075846260248,71841.76,31850.76,182778
5c39a9da-6fb0-3cbb-0181-add875529d46,2011-02-17,,999-45-8329,,,,Teodoro374,Jesús825,Rosas160,,,,white,hispanic,M,Havana  Havana  CU,1065 Hamill Center Suite 34,New York,New York,Bronx County,36061,10025,40.596202711071705,-73.76749691478861,4094.00,617380.25,10909
6f45f2e9-a617-570a-8867-dec1260088bb,2013-05-16,,999-43-6844,,,,Carey440,Theo630,Mraz590,,,,white,nonhispanic,M,New York  New York  US,343 Feeney Terrace,Pelham,New York,Westchester County,36119,10803,40.949092551278916,-73.79318136593356,43648.42,160835.56,749896
7512bbb4-b22b-0979-6edc-389e16607ac7,2015-01-15,,999-53-5755,,,,Tamie596,Joi660,Herzog843,,,,asian,nonhispanic,F,Yokohama  Kanagawa  JP,256 Fritsch Pathway,New York,New York,New York County,36061,10075,40.710829234449456,-73.75231850751571,2383.05,40059.95,20756
79021b82-f370-50bb-c5a1-7333816d683f,1968-02-18,,999-95-8494,S99947462,X47011669X,Ms.,Evette961,,Farrell962,,,S,white,nonhispanic,F,Sinclairville  New York  US,1030 Lehner Branch,New York,New York,New York County,36081,11415,40.74250611093211,-73.86004791693962,552928.69,1498033.69,765183
7811dc30-8c86-8164-6c33-6b6f464745ef,2015-02-26,,999-38-9284,,,,Mignon230,,Towne435,,,,asian,nonhispanic,F,Haiphong  Kiến An  VN,250 Moen Underpass,New York,New York,Kings County,36047,11210,40.72722243223689,-73.93013858043074,20915.56,41133.62,867330
d3cb6736-0991-40ed-a220-7c714aba4c37,1982-06-20,,999-18-9450,S99992583,X37579742X,Mr.,Tristan353,Josh874,Reichel38,,,M,white,hispanic,M,Clifton Park  New York  US,1089 Casper Branch Apt 85,Riverhead,New York,Suffolk County,36103,11901,40.9533038102959,-72.60078962385516,18706.88,203251.65,130944
26aa011e-0d75-d1a3-3c5a-560a9450cc9d,2010-02-21,,999-88-4732,S99930207,,,Jesse626,Roosevelt595,Wolf938,,,,white,nonhispanic,M,New York  New York  US,791 Lindgren Passage Apt 87,Yonkers,New York,Westchester County,36119,10701,40.99154053580654,-73.85686414130046,33604.92,56454.75,66918
d57841fa-c9e2-a3d1-0e78-09bdbe4eed66,1965-06-06,,999-78-2116,S99990574,X36674944X,Mrs.,Jessica140,Susannah249,Huels583,,McKenzie376,M,white,nonhispanic,F,New York  New York  US,891 Mraz Bridge Apt 79,Wheatfield,New York,Niagara County,,00000,43.06813739245121,-78.86423684295741,430684.12,1522208.29,145475
75d6a35c-c2e1-5b9f-e7f8-6a5b05af8fc8,2012-12-21,,999-44-7679,,,,Hiram237,Abraham100,Batz141,,,,white,nonhispanic,M,New York  New York  US,433 DuBuque Estate,Ballston Spa,New York,Saratoga County,36091,12020,42.958626249871095,-73.91148033782434,23441.31,44052.93,37790
47d390c6-a1a2-1a80-dd1d-9722c7b24159,2009-01-24,,999-48-4421,S99930003,,,Demarcus108,,Jones311,,,,white,nonhispanic,M,New York  New York  US,571 Hills Highlands Apt 93,Palmyra,New York,Wayne County,36117,14522,43.08587029852728,-77.23788874842114,3499.25,75472.93,2134
322ab5c6-5846-ac1e-38cc-48b8cb441e20,1965-01-14,,999-64-4805,S99925151,X38351692X,Mrs.,Lena684,Charlott617,Krajcik437,,Williamson769,D,white,nonhispanic,F,New York  New York  US,936 McKenzie Key Suite 0,West Islip,New York,Suffolk County,36103,11795,40.668678641911605,-73.28023948242962,825022.05,1081607.57,96457
2de4dd0d-f665-8a2e-4c6b-997735e14ace,1987-09-11,,999-50-9887,S99927462,X18775001X,Mr.,Aron520,Gary33,Hammes673,,,D,white,nonhispanic,M,New York  New York  US,793 Mayert Lodge Unit 44,Orangeburg,New York,Rockland County,36087,10962,41.055538320016794,-73.94081158335895,92358.01,27874.01,645186
dd9da64b-7b38-4f91-e75d-b1268dde60d4,2001-12-11,,999-51-2949,S99995147,X79759645X,Ms.,Donnetta255,Alexandria361,Jenkins714,,,,black,nonhispanic,F,Lee  New York  US,684 Welch Arcade Apt 38,Greenville,New York,Greene County,36039,12083,42.381189188589104,-74.02694326914761,173332.41,909164.82,80611
7c913488-8c54-7aa0-a452-83dbc3ad8377,1966-12-13,,999-65-4697,S99997526,X80694527X,Mrs.,Florencia449,Eloisa55,Sauceda634,,Concepción765,M,asian,hispanic,F,Portsmouth  Saint John Parish  DM,974 Langworth Station,New York,New York,Queens County,36061,10035,40.89493628719547,-73.84649478508462,1215920.27,723887.51,39886
6bc4cd5d-0216-17a9-8192-ac2209957d3a,1998-08-30,,999-61-2767,S99937792,X81430633X,Ms.,Pamela954,Gilma310,Thompson596,,,,white,hispanic,F,New York  New York  US,842 Koch Common,Smithtown,New York,Suffolk County,36103,11787,40.89982941520977,-73.20890750066476,60604.36,250731.99,232022
a203c138-c1f4-67db-655a-5138756a96c7,1970-12-05,2023-09-22,999-87-6157,S99918824,X86339640X,Mrs.,Mariela993,Alyce744,Schultz619,,Abernathy524,W,white,nonhispanic,F,Lockport  New York  US,320 Collins Terrace,New York,New York,New York County,36081,11430,40.73089568194054,-74.02453846455207,1253572.09,1250111.13,58802
